navn,schools_total,schools_covered,mean_distance_m,median_distance_m,schools_not_covered,coverage_percent,mean_distance_km,median_distance_km
Sogn og Fjordane SFD,111,26,20731.23571867335,20101.682301139266,85,23.4,20.73,20.1
Oppland SFD,141,41,24645.777035746196,14339.968964675876,100,29.1,24.65,14.34
Hedmark SFD,147,52,24558.094994167182,13140.896133556676,95,35.4,24.56,13.14
Nordland SFD,148,57,21340.137119258205,16475.202798000555,91,38.5,21.34,16.48
Troms SFD,119,50,21862.580983718402,6616.529407106042,69,42.0,21.86,6.62
Nord-Trøndelag SFD,113,48,14067.11367846974,8573.348143905585,65,42.5,14.07,8.57
Midtre Hålogaland SFD,99,43,11928.667255898923,7417.894108111093,56,43.4,11.93,7.42
Øst-Finnmark SFD,32,14,24107.98583651183,13532.520617967788,18,43.8,24.11,13.53
Møre og Romsdal SFD,211,109,9287.334056524427,4199.470562196335,102,51.7,9.29,4.2
Sør-Trøndelag SFD,213,111,11787.491293033167,3703.7872127345368,102,52.1,11.79,3.7
Hordaland SFD,348,187,8980.72440834851,4027.9146560849313,161,53.7,8.98,4.03
Telemark SFD,133,79,11685.31914012495,2670.1232531023156,54,59.4,11.69,2.67
Buskerud SFD,151,90,10827.23143262392,2558.4234058915217,61,59.6,10.83,2.56
Vest-Finnmark SFD,43,26,15889.93402182582,2447.6506399409145,17,60.5,15.89,2.45
Rogaland SFD,308,215,6199.809134306746,1925.8020548698266,93,69.8,6.2,1.93
Vest-Agder SFD,150,107,6271.36398813169,950.7643676837288,43,71.3,6.27,0.95
Vestfold SFD,147,105,3879.977506420891,1977.436515140506,42,71.4,3.88,1.98
Aust-Agder SFD,91,66,8437.462799984603,1887.6046720998422,25,72.5,8.44,1.89
Oslo og Akershus SFD,573,431,4151.064535209997,2202.124903317037,142,75.2,4.15,2.2
Østfold SFD,172,145,2580.4869138010313,1297.3966954021762,27,84.3,2.58,1.3
